packet_id,packet_type,source_gui,dest_gui,path,hop_count,started_at,delivered_at,delay
23226,SENSOR_DATA,22,1,22->11->1,2,2738.607701,2738.607863,0.000162
23242,SENSOR_DATA,13,1,13->23->22->11->1,4,2740.598362,2740.598671,0.000309
23257,SENSOR_DATA,10,1,10->0->1,2,2742.081586,2742.081765,0.000179
23263,SENSOR_DATA,33,1,33->32->22->11->1,4,2742.598748,2742.599067,0.000319
23266,SENSOR_DATA,23,1,23->22->11->1,3,2742.787308,2742.787542,0.000234
23287,SENSOR_DATA,0,1,0->1,1,2744.741474,2744.741564,0.000090
23304,SENSOR_DATA,32,1,32->22->11->1,3,2746.965071,2746.965310,0.000239
23306,SENSOR_DATA,11,1,11->1,1,2746.999538,2746.999617,0.000079
23315,SENSOR_DATA,2,1,2->1,1,2747.907825,2747.907891,0.000066
23314,SENSOR_DATA,12,1,12->11->1,2,2747.907773,2747.907899,0.000125
23323,SENSOR_DATA,3,1,3->2->1,2,2748.527649,2748.527781,0.000132
23324,SENSOR_DATA,22,1,22->11->1,2,2748.607701,2748.607863,0.000162
23340,SENSOR_DATA,13,1,13->23->22->11->1,4,2750.598362,2750.598671,0.000309
23355,SENSOR_DATA,10,1,10->0->1,2,2752.081586,2752.081765,0.000179
23361,SENSOR_DATA,33,1,33->32->22->11->1,4,2752.598748,2752.599067,0.000319
23364,SENSOR_DATA,23,1,23->22->11->1,3,2752.787308,2752.787542,0.000234
23385,SENSOR_DATA,0,1,0->1,1,2754.741474,2754.741564,0.000090
23402,SENSOR_DATA,32,1,32->22->11->1,3,2756.965071,2756.965310,0.000239
23404,SENSOR_DATA,11,1,11->1,1,2756.999538,2756.999617,0.000079
23413,SENSOR_DATA,2,1,2->1,1,2757.907825,2757.907891,0.000066
23412,SENSOR_DATA,12,1,12->11->1,2,2757.907773,2757.907899,0.000125
23421,SENSOR_DATA,3,1,3->2->1,2,2758.527649,2758.527781,0.000132
23422,SENSOR_DATA,22,1,22->11->1,2,2758.607701,2758.607863,0.000162
23438,SENSOR_DATA,13,1,13->23->22->11->1,4,2760.598362,2760.598671,0.000309
